@relation testRelation-weka.filters.unsupervised.attribute.Remove-Rfirst-weka.filters.unsupervised.attribute.Remove-V-Rfirst-7

@attribute label {walking,standing,sit_down_chair_1,sitting_chair_1,stand_up_chair_1}
@attribute TYPE_ACCELEROMETER_X numeric
@attribute TYPE_ACCELEROMETER_Y numeric
@attribute TYPE_ACCELEROMETER_Z numeric
@attribute TYPE_GYROSCOPE_X numeric
@attribute TYPE_GYROSCOPE_Y numeric
@attribute TYPE_GYROSCOPE_Z numeric

@data
walking,-1.014206,10.728928,-0.89119,?,?,?
walking,-0.319138,9.486374,-2.221817,0.983154,1.876068,-1.992294
walking,0.028397,7.508286,-2.974014,1.084625,2.295837,-1.754105
walking,0.166458,5.942001,-3.295364,1.023743,2.372742,-1.526596
walking,0.135513,5.006516,-3.516739,0.813324,2.097168,-1.19014
walking,-0.071579,4.311447,-4.009476,0.631744,1.942291,-0.836594
walking,-0.245346,4.030563,-3.811905,0.461914,1.674194,-0.519363
walking,-0.235825,4.861313,-3.438187,0.307037,1.364441,-0.277969
walking,-0.445297,5.74205,-3.509598,0.167114,1.150818,-0.091049
walking,-0.597641,6.06102,-3.930924,0.000488,1.051483,0.007217
walking,-0.421494,6.432358,-4.471268,-0.159729,0.938263,0.008286
walking,-1.03801,6.970322,-5.842362,-0.353058,0.76416,-0.089981
walking,-2.792343,8.665146,-6.865921,-0.553864,0.790863,-0.213882
walking,-3.994431,11.135971,-6.92543,-0.716217,0.830383,-0.28331
walking,-3.028,12.716537,-7.313431,-0.620087,0.624237,-0.239517
walking,-2.3853,12.985519,-8.07991,-0.232361,0.153198,-0.165817
walking,-1.761643,11.785812,-9.048721,0.297424,0.388184,-0.198929
walking,-0.899948,9.145981,-10.905411,0.540955,0.865631,-0.281174
walking,-0.14061,8.800827,-9.286758,0.408508,1.045074,-0.228836
walking,1.325699,8.7556,-6.704056,0.004761,0.394592,0.096939
walking,3.303787,10.662277,-2.571732,-0.403259,-0.455627,0.518845
walking,4.234512,15.934799,2.015244,-1.070831,-1.765137,0.809372
walking,0.75441,12.073837,-0.160416,-1.147736,-1.657257,0.804031
walking,-0.01445,7.377365,3.457748,-0.620087,-1.226807,0.533798
walking,0.323563,4.787521,0.420395,-0.879639,-1.141357,0.399216
walking,0.897232,7.489243,1.2202,-1.322907,-1.197968,0.619247
walking,0.792496,8.727036,1.282089,-1.388062,-1.756592,0.908707
walking,1.251907,8.655624,1.008347,-1.520508,-1.710663,1.133011
walking,0.623489,8.086716,2.277084,-1.896484,-1.602783,1.276138
walking,0.556839,8.37236,1.020248,-2.138947,-1.393433,1.314591
walking,0.028397,9.807724,2.969772,-2.142151,-1.70105,1.567734
walking,0.316422,11.659653,4.616989,-1.939209,-2.010803,1.950119
walking,2.220718,12.273788,0.191879,-1.408356,-0.997162,2.168015
walking,-0.238205,10.343308,-0.534134,-1.138123,0.614624,1.391495
walking,0.537796,8.791306,0.332321,-1.318634,0.789795,0.567978
walking,0.199783,7.779648,0.398972,-1.191528,0.384979,0.201614
walking,0.578262,7.72728,0.741745,-1.029175,0.016479,0.088394
walking,0.62825,8.558029,-1.352982,-0.826233,0.005798,0.165298
walking,-0.040634,9.065048,-0.748367,-0.784576,0.314484,0.336197
walking,-0.540512,8.910324,0.975021,-0.800598,0.268555,0.504959
walking,-0.292954,8.653244,0.106186,-0.528229,0.24292,0.653427
walking,0.228348,9.798203,-1.160172,-0.384033,0.415955,0.699356
walking,0.504471,11.70726,1.329697,-0.637177,0.218353,0.649155
walking,0.709183,13.402084,1.084518,-0.641449,0.072021,0.539139
