@relation testRelation-weka.filters.unsupervised.attribute.Remove-Rfirst-weka.filters.unsupervised.attribute.Remove-V-Rfirst-19

@attribute label {walking,standing,sit_down_chair_1,sitting_chair_1,stand_up_chair_1}
@attribute TYPE_ACCELEROMETER_X_MEAN numeric
@attribute TYPE_ACCELEROMETER_X_VARIANCE numeric
@attribute TYPE_ACCELEROMETER_X_RANGE numeric
@attribute TYPE_ACCELEROMETER_Y_MEAN numeric
@attribute TYPE_ACCELEROMETER_Y_VARIANCE numeric
@attribute TYPE_ACCELEROMETER_Y_RANGE numeric
@attribute TYPE_ACCELEROMETER_Z_MEAN numeric
@attribute TYPE_ACCELEROMETER_Z_VARIANCE numeric
@attribute TYPE_ACCELEROMETER_Z_RANGE numeric
@attribute TYPE_GYROSCOPE_X_MEAN numeric
@attribute TYPE_GYROSCOPE_X_VARIANCE numeric
@attribute TYPE_GYROSCOPE_X_RANGE numeric
@attribute TYPE_GYROSCOPE_Y_MEAN numeric
@attribute TYPE_GYROSCOPE_Y_VARIANCE numeric
@attribute TYPE_GYROSCOPE_Y_RANGE numeric
@attribute TYPE_GYROSCOPE_Z_MEAN numeric
@attribute TYPE_GYROSCOPE_Z_VARIANCE numeric
@attribute TYPE_GYROSCOPE_Z_RANGE numeric

@data
walking,0.52856,4.147114,11.797119,9.224819,11.474899,15.493835,-1.484997,15.005024,17.64331,-0.228334,1.656303,4.847107,0.130138,1.427153,5.417481,0.039912,0.852225,4.693298
walking,1.240743,5.716051,11.773315,9.310941,16.259323,15.520019,-1.312063,17.272849,18.307434,0.038193,2.519891,5.821228,0.026103,1.858529,6.763306,-0.125368,0.963408,4.745636
walking,1.375306,6.31405,12.282715,9.664307,19.882486,18.92633,-1.184308,17.846378,20.802063,0.140422,2.380942,5.959015,0.003192,2.038323,6.976929,-0.169064,0.81554,4.854584
walking,1.312726,6.488696,13.582397,9.676113,19.435158,18.92633,-1.178524,16.773062,21.061524,0.153934,2.351113,6.036987,0.108316,1.975107,7.310181,-0.198598,0.761228,4.831085
walking,1.466617,5.70968,13.582397,9.490325,15.920044,16.722107,-0.593358,12.056244,18.802551,0.054257,2.550894,6.210022,-0.012466,2.03288,7.303772,-0.109901,0.905434,4.583282
walking,1.566473,5.056995,12.018493,9.970803,12.415883,15.355774,-0.165343,10.809686,17.843262,-0.03399,2.646481,6.019897,-0.160368,1.664646,6.939545,-0.02238,0.937896,4.526672
walking,1.412868,5.020234,12.5755,10.055253,16.759734,20.151627,-0.825491,15.972772,20.628296,-0.230342,2.484691,6.019897,-0.078893,1.171285,5.948334,0.057675,0.787474,4.793701
walking,1.386446,5.260062,12.273193,9.276586,21.744032,20.94191,-1.230678,18.209927,22.708741,-0.362489,2.280828,5.748596,0.056139,1.454566,6.575318,0.066231,0.74909,4.721069
walking,1.537957,6.670475,15.624756,9.164607,22.81558,20.94191,-1.107708,19.71566,23.120545,-0.145267,2.765486,5.802002,0.026648,2.062716,7.689362,-0.070541,0.956819,4.994507
walking,1.640432,8.460604,15.624756,9.423972,23.848645,20.658646,-0.980144,23.650816,33.760803,0.14917,2.807877,5.764618,0.025858,2.126787,8.24585,-0.199442,0.824492,4.994507
walking,1.535981,8.54569,15.160584,9.668139,18.860749,19.764221,-0.830157,20.227798,32.127868,0.171558,2.304928,5.390778,-0.024066,2.132606,8.510742,-0.196814,0.804412,4.455109
walking,1.395634,7.303913,12.732605,9.453334,14.538978,16.298401,-0.236778,11.725085,16.969666,0.005594,2.367045,5.09491,-0.207878,1.837303,8.293915,-0.108844,1.136651,4.968872
walking,1.23215,6.161572,12.087524,9.362928,12.2693,16.298401,0.262552,9.773014,14.955872,-0.026556,2.322936,5.019073,-0.274635,1.70643,7.754517,-0.070659,1.34613,5.00946
walking,0.679523,7.37446,12.487427,10.032764,11.170595,16.841125,0.018541,11.34937,14.660705,-0.049361,1.976836,5.131226,-0.175984,1.634186,7.754517,0.061499,1.294552,5.005188
walking,-0.20488,7.707424,13.161072,9.891918,12.327771,16.203185,-0.215117,12.392215,14.779724,-0.249173,1.516631,4.992371,0.100903,1.099763,7.643432,0.211281,1.134732,5.025482
walking,-0.661721,7.953583,14.591675,9.209894,12.162232,14.791625,-0.402904,10.803914,14.779724,-0.256703,1.425342,4.945374,0.061853,1.408628,7.849579,0.113954,1.393888,5.006256
walking,-0.816445,11.236082,17.198181,9.436362,12.845115,14.808288,-0.41014,9.382349,13.34198,-0.00936,1.646084,4.813995,-0.105371,1.858801,7.649841,-0.092555,1.636408,5.068207
walking,-0.354724,10.857006,18.264587,9.608767,20.863214,20.870499,-0.678242,14.471974,19.773743,0.20359,2.034842,5.802002,0.109961,1.495644,7.96814,-0.121918,1.234964,5.028687
walking,0.857408,9.042,18.916809,9.682987,26.361467,21.308487,-1.140962,19.6698,20.106995,0.212958,2.675308,5.794525,0.251657,1.407016,6.860504,-0.117101,0.989067,5.458069
walking,1.579518,8.145857,18.697815,9.472734,21.707304,21.187683,-0.56008,15.507332,20.083191,0.022321,3.039257,6.565704,0.03374,2.075454,7.604981,-0.121875,1.107892,5.458069
walking,1.681493,7.314152,14.379822,9.680588,19.376555,21.237671,-0.15068,13.892393,20.687805,-0.044298,3.064119,6.565704,-0.168774,2.157028,7.519531,-0.037526,1.100856,5.341644
